x_mm,y_mm,dia_mm,screw,for_bracket
-174.00,-206.95,5.5,M5,psu_shelf_flange
-101.50,-206.95,5.5,M5,psu_shelf_flange
-101.50,-144.00,5.5,M5,bedrock_shelf_flange
-95.00,160.00,5.5,M5,din_rail_ts35
-71.50,-122.00,5.5,M5,bedrock_spine
-71.50,26.00,5.5,M5,bedrock_spine
-50.00,160.00,5.5,M5,din_rail_ts35
-38.50,-144.00,5.5,M5,bedrock_shelf_flange
-29.00,-206.95,5.5,M5,psu_shelf_flange
-25.00,-56.00,5.5,M5,ubr_bracket_flange
-25.00,82.00,5.5,M5,ubr_bracket_flange
-15.00,-56.00,5.5,M5,ubr_bracket_flange
-15.00,82.00,5.5,M5,ubr_bracket_flange
-5.00,160.00,5.5,M5,din_rail_ts35
40.00,160.00,5.5,M5,din_rail_ts35
43.50,-206.95,5.5,M5,psu_shelf_flange
52.00,-127.00,5.5,M5,oz51x_cradle
52.00,-49.00,5.5,M5,oz51x_cradle
53.00,-145.00,5.5,M5,oz51x_clip_bot_foot
53.00,-32.90,5.5,M5,oz51x_clip_top_foot
53.30,26.00,5.5,M5,b210_bracket_flange
53.30,81.22,5.5,M5,b210_bracket_flange
53.30,136.43,5.5,M5,b210_bracket_flange
53.30,191.65,5.5,M5,b210_bracket_flange
69.30,26.00,5.5,M5,b210_bracket_flange
69.30,81.22,5.5,M5,b210_bracket_flange
69.30,136.43,5.5,M5,b210_bracket_flange
69.30,191.65,5.5,M5,b210_bracket_flange
85.00,160.00,5.5,M5,din_rail_ts35
111.75,-145.00,5.5,M5,oz51x_clip_bot_foot
111.75,-127.00,5.5,M5,oz51x_cradle
111.75,-49.00,5.5,M5,oz51x_cradle
111.75,-32.90,5.5,M5,oz51x_clip_top_foot
116.00,-206.95,5.5,M5,psu_shelf_flange
130.00,160.00,5.5,M5,din_rail_ts35
160.00,29.10,5.5,M5,certus_pedestal
160.00,75.10,5.5,M5,certus_pedestal
165.00,160.00,5.5,M5,din_rail_ts35
170.50,-145.00,5.5,M5,oz51x_clip_bot_foot
170.50,-32.90,5.5,M5,oz51x_clip_top_foot
171.50,-127.00,5.5,M5,oz51x_cradle
171.50,-49.00,5.5,M5,oz51x_cradle
200.00,29.10,5.5,M5,certus_pedestal
200.00,75.10,5.5,M5,certus_pedestal
