x_mm,y_mm,dia_mm,screw,for_bracket
-174.00,-207.90,5.5,M5,psu_shelf_flange
-101.50,-207.90,5.5,M5,psu_shelf_flange
-98.50,-135.00,5.5,M5,bedrock_shelf_flange
-70.50,-112.00,5.5,M5,bedrock_spine
-70.50,36.00,5.5,M5,bedrock_spine
-35.50,-135.00,5.5,M5,bedrock_shelf_flange
-33.00,-24.00,5.5,M5,ubr_bracket_flange
-33.00,110.00,5.5,M5,ubr_bracket_flange
-29.00,-207.90,5.5,M5,psu_shelf_flange
-17.00,-24.00,5.5,M5,ubr_bracket_flange
-17.00,110.00,5.5,M5,ubr_bracket_flange
43.50,-207.90,5.5,M5,psu_shelf_flange
52.00,-133.00,5.5,M5,oz51x_cradle
52.00,-55.00,5.5,M5,oz51x_cradle
53.00,-150.00,5.5,M5,oz51x_clip_bot_foot
53.00,-37.80,5.5,M5,oz51x_clip_top_foot
67.00,7.00,5.5,M5,b210_bracket
67.00,88.50,5.5,M5,b210_bracket
67.00,170.00,5.5,M5,b210_bracket
111.75,-150.00,5.5,M5,oz51x_clip_bot_foot
111.75,-133.00,5.5,M5,oz51x_cradle
111.75,-55.00,5.5,M5,oz51x_cradle
111.75,-37.80,5.5,M5,oz51x_clip_top_foot
116.00,-207.90,5.5,M5,psu_shelf_flange
170.50,-150.00,5.5,M5,oz51x_clip_bot_foot
170.50,-37.80,5.5,M5,oz51x_clip_top_foot
171.50,-133.00,5.5,M5,oz51x_cradle
171.50,-55.00,5.5,M5,oz51x_cradle
175.00,7.00,5.5,M5,b210_bracket
175.00,88.50,5.5,M5,b210_bracket
175.00,170.00,5.5,M5,b210_bracket
