"Panel","Feature","Type","Side","X_mm","Y_mm","Bore_mm","Hardware_code","Hardware_length_mm","Countersink_mouth_mm","Countersink_depth_mm"
"Backpanel_R1","FACTORY_1","through hole","front",22.224999999999994,22.224999999999994,12.7,"",,,
"Backpanel_R1","FACTORY_2","through hole","front",22.224999999999994,409.57500000000005,12.7,"",,,
"Backpanel_R1","FACTORY_3","through hole","front",409.57500000000005,409.57500000000005,12.7,"",,,
"Backpanel_R1","FACTORY_4","through hole","front",409.57500000000005,22.224999999999994,12.7,"",,,
"Backpanel_R1","FACTORY_5","through hole","front",22.224999999999994,53.974999999999994,7.1374,"",,,
"Backpanel_R1","FACTORY_6","through hole","front",409.57500000000005,377.82500000000005,7.1374,"",,,
"Backpanel_R1","MEANWELL_1","native hardware","front",400,323.4,,"WGU30",12,,
"Backpanel_R1","MEANWELL_2","native hardware","front",400,71.4,,"WGU30",12,,
"Backpanel_R1","MEANWELL_3","native hardware","front",343,323.4,,"WGU30",12,,
"Backpanel_R1","MEANWELL_4","native hardware","front",343,71.4,,"WGU30",12,,
"Backpanel_R1","BEDROCK_1","native hardware","front",16,215,,"WGU30",12,,
"Backpanel_R1","BEDROCK_2","native hardware","front",16,379,,"WGU30",12,,
"Backpanel_R1","BEDROCK_3","native hardware","front",168,215,,"WGU30",12,,
"Backpanel_R1","BEDROCK_4","native hardware","front",168,379,,"WGU30",12,,
"Backpanel_R1","B210_1","native hardware","front",322,378.007,,"WGU30",12,,
"Backpanel_R1","B210_2","native hardware","front",322,257.992,,"WGU30",12,,
"Backpanel_R1","B210_3","native hardware","front",186,378.007,,"WGU30",12,,
"Backpanel_R1","B210_4","native hardware","front",186,257.992,,"WGU30",12,,
"Backpanel_R1","PEPLINK_1","native hardware","front",207.4,47.65,,"WGO40",6,,
"Backpanel_R1","PEPLINK_2","native hardware","front",207.4,130.35,,"WGO40",6,,
"Backpanel_R1","PEPLINK_3","native hardware","front",45.6,47.65,,"WGO40",6,,
"Backpanel_R1","PEPLINK_4","native hardware","front",45.6,130.35,,"WGO40",6,,
"Backpanel_R1","OZ_1","native hardware","front",327.1,130.2,,"WGU30",12,,
"Backpanel_R1","OZ_2","native hardware","front",327.1,34.2,,"WGU30",12,,
"Backpanel_R1","OZ_3","native hardware","front",220.9,130.2,,"WGU30",12,,
"Backpanel_R1","OZ_4","native hardware","front",220.9,34.2,,"WGU30",12,,
"B210_R2","P1","through hole","front",7,13.9925,3.8,"",,,
"B210_R2","P2","through hole","front",7,134.0075,3.8,"",,,
"B210_R2","P3","through hole","front",143,13.9925,3.8,"",,,
"B210_R2","P4","through hole","front",143,134.0075,3.8,"",,,
"B210_R2","D1","through hole","reverse",28.200499999999998,13.9925,3.4,"",,7.1,1.8499999999999999
"B210_R2","D2","through hole","reverse",28.200499999999998,134.0075,3.4,"",,7.1,1.8499999999999999
"B210_R2","D3","through hole","reverse",121.7995,13.9925,3.4,"",,7.1,1.8499999999999999
"B210_R2","D4","through hole","reverse",121.7995,134.0075,3.4,"",,7.1,1.8499999999999999
"MeanWell_R2","P1","through hole","front",7.5,42.80000000000001,3.8,"",,,
"MeanWell_R2","P2","through hole","front",7.5,294.8,3.8,"",,,
"MeanWell_R2","P3","through hole","front",64.5,42.80000000000001,3.8,"",,,
"MeanWell_R2","P4","through hole","front",64.5,294.8,3.8,"",,,
"MeanWell_R2","D1","through hole","reverse",38.3,294.8,4.5,"",,8.1,1.7999999999999998
"MeanWell_R2","D2","through hole","reverse",38.3,42.80000000000001,4.5,"",,8.1,1.7999999999999998
"Bedrock_R3","P1","through hole","front",7,10,3.8,"",,,
"Bedrock_R3","P2","through hole","front",7,174,3.8,"",,,
"Bedrock_R3","P3","through hole","front",159,10,3.8,"",,,
"Bedrock_R3","P4","through hole","front",159,174,3.8,"",,,
"Bedrock_R3","D1","through hole","reverse",23,22,4.5,"",,9.9,2.7
"Bedrock_R3","D2","through hole","reverse",143,22,4.5,"",,9.9,2.7
"Bedrock_R3","D3","through hole","reverse",83,52,4.5,"",,9.9,2.7
"Bedrock_R3","D4","through hole","reverse",83,122,4.5,"",,9.9,2.7
"Bedrock_R3","D5","through hole","reverse",33,162,4.5,"",,9.9,2.7
"Bedrock_R3","D6","through hole","reverse",133,162,4.5,"",,9.9,2.7
