"Panel","Feature","Type","Side","X_mm","Y_mm","Bore_mm","Hardware_code","Hardware_length_mm","Countersink_mouth_mm","Conical_depth_mm"
"Backpanel_R2","FACTORY_1","through hole","front",22.225,22.225,12.7,"",,,
"Backpanel_R2","FACTORY_2","through hole","front",22.225,409.575,12.7,"",,,
"Backpanel_R2","FACTORY_3","through hole","front",409.575,409.575,12.7,"",,,
"Backpanel_R2","FACTORY_4","through hole","front",409.575,22.225,12.7,"",,,
"Backpanel_R2","FACTORY_5","through hole","front",22.225,53.975,7.1374,"",,,
"Backpanel_R2","FACTORY_6","through hole","front",409.575,377.825,7.1374,"",,,
"Backpanel_R2","MEANWELL_1","native hardware","front",408.4,323.4,,"WGU30",12,,
"Backpanel_R2","MEANWELL_2","native hardware","front",408.4,71.4,,"WGU30",12,,
"Backpanel_R2","MEANWELL_3","native hardware","front",351.4,323.4,,"WGU30",12,,
"Backpanel_R2","MEANWELL_4","native hardware","front",351.4,71.4,,"WGU30",12,,
"Backpanel_R2","BEDROCK_1","native hardware","front",46,25,,"WGU30",12,,
"Backpanel_R2","BEDROCK_2","native hardware","front",46,189,,"WGU30",12,,
"Backpanel_R2","BEDROCK_3","native hardware","front",198,25,,"WGU30",12,,
"Backpanel_R2","BEDROCK_4","native hardware","front",198,189,,"WGU30",12,,
"Backpanel_R2","B210_1","native hardware","front",350,166.007,,"WGO30",20,,
"Backpanel_R2","B210_2","native hardware","front",350,45.992,,"WGO30",20,,
"Backpanel_R2","B210_3","native hardware","front",214,166.007,,"WGO30",20,,
"Backpanel_R2","B210_4","native hardware","front",214,45.992,,"WGO30",20,,
"Backpanel_R2","OZ_1","native hardware","front",335.1,161.2,,"WGU30",12,,
"Backpanel_R2","OZ_2","native hardware","front",335.1,65.2,,"WGU30",12,,
"Backpanel_R2","OZ_3","native hardware","front",228.9,161.2,,"WGU30",12,,
"Backpanel_R2","OZ_4","native hardware","front",228.9,65.2,,"WGU30",12,,
"Backpanel_R2","CARRIER_1","native hardware","front",52,10,,"WGO30",20,,
"Backpanel_R2","CARRIER_2","native hardware","front",52,204,,"WGO30",20,,
"Backpanel_R2","CARRIER_3","native hardware","front",192,10,,"WGO30",20,,
"Backpanel_R2","CARRIER_4","native hardware","front",192,204,,"WGO30",20,,
"Peplink_Carrier_R2","SUPPORT_1","through hole","front",20,8,3.8,"",,,
"Peplink_Carrier_R2","SUPPORT_2","through hole","front",20,202,3.8,"",,,
"Peplink_Carrier_R2","SUPPORT_3","through hole","front",160,8,3.8,"",,,
"Peplink_Carrier_R2","SUPPORT_4","through hole","front",160,202,3.8,"",,,
"Peplink_Carrier_R2","ROUTER_1","native hardware","front",9.1,46.65,,"WGO40",6,,
"Peplink_Carrier_R2","ROUTER_2","native hardware","front",9.1,129.35,,"WGO40",6,,
"Peplink_Carrier_R2","ROUTER_3","native hardware","front",170.9,46.65,,"WGO40",6,,
"Peplink_Carrier_R2","ROUTER_4","native hardware","front",170.9,129.35,,"WGO40",6,,
"B210_R2","P1","through hole","front",7,13.9925,3.8,"",,,
"B210_R2","P2","through hole","front",7,134.0075,3.8,"",,,
"B210_R2","P3","through hole","front",143,13.9925,3.8,"",,,
"B210_R2","P4","through hole","front",143,134.0075,3.8,"",,,
"B210_R2","D1","through hole","reverse",28.2005,13.9925,3.4,"",,7.1,1.85
"B210_R2","D2","through hole","reverse",28.2005,134.0075,3.4,"",,7.1,1.85
"B210_R2","D3","through hole","reverse",121.7995,13.9925,3.4,"",,7.1,1.85
"B210_R2","D4","through hole","reverse",121.7995,134.0075,3.4,"",,7.1,1.85
"MeanWell_R2","P1","through hole","front",7.5,42.8,3.8,"",,,
"MeanWell_R2","P2","through hole","front",7.5,294.8,3.8,"",,,
"MeanWell_R2","P3","through hole","front",64.5,42.8,3.8,"",,,
"MeanWell_R2","P4","through hole","front",64.5,294.8,3.8,"",,,
"MeanWell_R2","D1","through hole","reverse",38.3,294.8,4.5,"",,8.1,1.8
"MeanWell_R2","D2","through hole","reverse",38.3,42.8,4.5,"",,8.1,1.8
"Bedrock_R3","P1","through hole","front",7,10,3.8,"",,,
"Bedrock_R3","P2","through hole","front",7,174,3.8,"",,,
"Bedrock_R3","P3","through hole","front",159,10,3.8,"",,,
"Bedrock_R3","P4","through hole","front",159,174,3.8,"",,,
"Bedrock_R3","D1","through hole","reverse",23,22,4.5,"",,9.9,2.7
"Bedrock_R3","D2","through hole","reverse",143,22,4.5,"",,9.9,2.7
"Bedrock_R3","D3","through hole","reverse",83,52,4.5,"",,9.9,2.7
"Bedrock_R3","D4","through hole","reverse",83,122,4.5,"",,9.9,2.7
"Bedrock_R3","D5","through hole","reverse",33,162,4.5,"",,9.9,2.7
"Bedrock_R3","D6","through hole","reverse",133,162,4.5,"",,9.9,2.7
